russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
глухой,гоъи,,,,,,,,,ADJ,гоъи,Adjective_no_class
голенище,ссакур,"б, б",ссакурдул,ссакурулӏи,ссакурдалӏи,,,,,N,,
детеныш,боши,"б, й",бошул,бошулилӏи,бошулилӏи,,,,,N,,
доить,берчӏери,,,,,,"йерчӏери , берчӏери",берчӏи,берчӏо,V,"берчӏери<V>:ерчӏ[thematic-i,transitive]",Verb_class_prefix
есть,биконну,,,,,,"йикон, йокон, вукон, вокон, бикон",вукон,вуком,V,биконну<V>:ко[nasal],Verb_class_prefix_i_o
есть,кӏаммери,,,,,,,кӏамми,кӏаммо,V,"кӏаммери<V>:кӏамм[thematic-i,transitive]",Verb
жать,роквери,,,,,,,роко,роко,V,"роквери<V>:рокв[thematic-i,transitive]",Verb
желудок,ихоб,"р, р",ихобил,ихобулӏи,ихобалӏи,,,,,N,,
жеребенок,тай,"б, й",тайил,тайолӏи,тайилилӏи,,,,,N,,
жир,соси,"р, р",сосол,сосиллӏи,сосолилӏи,,,,,N,,
жир,лӏурлӏа,"р, р",лӏурлӏол,лӏурлӏолӏи,лӏурлӏолилӏи,,,,,N,,
звенеть,звархунну,,,,,,,звархун,звархум,V,звархунну<V>:зварху[nasal],Verb
жужжать,зуннери,,,,,,,зунни,зунниб,V,зуннери<V>:зунн[thematic-i],Verb
закрывать,рокъинну,,,,,,,рокъон,рокъон,V,"рокъинну<V>:рокъ[nasal,transitive,npst-i]",Verb
игла,бежун,"б, б",бежумол,бежунолӏи,бежумалӏи,,,,,N,,
идти,буъинну,,,,,,"вуъон, йиъом, йоъомул, воъомул, буъом",вуъон,вуъом,V,"буъинну<V>:ъ[nasal,npst-i]",Verb_class_prefix_u_a
капать,кӏурдери,,,,,,,кӏурди,кӏурдиб,V,кӏурдери<V>:кӏурд[thematic-i],Verb
идти (об осадках),релӏери,,,,,,,релӏи,релӏиб,V,релӏери<V>:релӏ[thematic-i],Verb
клюв,кӏол,"б, б",кӏолибол,кӏололӏи,кӏолибалӏи,,,,,N,,
кнут,чӏартил,"р, р",чӏартилол,чӏартилулӏи,чӏартилалӏи,,,,,N,,
колос,ора,"б, б",оробил,орулӏи,оробалӏи,,,,,N,,
корень,гьикьим,"б, б",гьикьимол,гьикьимулӏи,гьикьималӏи,,,,,N,,
ломаться,бихъинну,,,,,,вухъинну,бихъин,бихъим,V,бихъинну<V>:хъи[nasal],Verb_class_prefix_i_o
легкое,хунсир,"б, б",хунсидул,хунсирулӏи,хунсидалӏи,,,,,N,,
лист,лъахиб,"р, р",лъахибол,лъахибулӏи,лъахибалӏи,,,,,N,,
лист,ол,"р, р",олил,олуллӏи,олилилӏи,,,,,N,,
мазать,бушери,,,,,,"бушери, рушери",бушо,бушо,V,"бушери<V>:уш[thematic-o,transitive]",Verb_class_prefix
махать,хьваъунну,,,,,,,хьваъун,хьваъон,V,"хьваъунну<V>:хьваъу[nasal,transitive]",Verb
луна,порцӏцӏи,"б, б",порцӏцӏадул,порцӏцӏилӏи,порцӏцӏадалӏи,,,,,N,,
масло,лӏурлӏа,"р, р",лӏурлӏол,лӏурлӏолӏи,лӏурлӏолилӏи,,,,,N,,
мед,гьунцӏцӏи,"р, р",гьунцӏцӏил,гьунцӏцӏилӏи,гьунцӏцӏибалӏи,,,,,N,,
место,миса,"б, б",мисал,мисаллӏи,мисалилӏи,,,,,N,,
молитва,ккубайдир,"р, р",ккуболийдирол,ккубайдирлӏи,ккуболийдирлӏи,,,,,N,,
мотыга,цел,"б, б",целадул,целуллӏи,целадалӏи,,,,,N,,
начинаться,байбихьунну,,,,,,,байбихьун,байбихьон,V,"байбихьунну<V>:байбихьу[nasal,transitive]",Verb
мягкий,лъуна,,,,,,,,,ADJ,лъуна,Adjective_no_class
мякина,никку,"р, р",никкодул,никкулӏи,никкодалӏи,,,,,N,,
наперсток,цӏцӏекӏа,"б, б",цӏцӏекӏалъолол,цӏцӏекӏалӏи,цӏцӏекӏалъолалӏи,,,,,N,,
оставаться,беддери,,,,,,"веддо, йеддо, беддо",беддо,беддо,V,"беддери<V>:едд[thematic-o,transitive]",Verb_class_prefix
нюхать,шаншуннери,,,,,,,шаншунни,шаншунно,V,"шаншуннери<V>:шаншунн[thematic-i,transitive]",Verb
нитка,рекун,"р, р",рекумол,рекунолӏи,рекумалӏи,,,,,N,,
олово,гъалай,б,,гъалайлӏи,,,,,,N,,
открываться,архинну,,,,,,,архон,архон,V,"архинну<V>:арх[nasal,transitive,npst-i]",Verb
понимать,бичӏчӏунну,,,,,,ричӏчӏунну,бичӏчӏун,бичӏчӏум,V,бичӏчӏунну<V>:чӏчӏу[nasal],Verb_class_prefix_i_o
плевать,тудери,,,,,,,туди,тудо,V,"тудери<V>:туд[thematic-i,transitive]",Verb
потолок,эркъал,"б, б",эркъалол,эркъалулӏи,эркъалалӏи,,,,,N,,
приходить,биъери,,,,,,"вуъо, йиъо, воъол, йоъол, биъо",вуъо,вуъоб,V,биъери<V>:ъ[thematic-o],Verb_class_prefix_i_o
прыгать,лъибери,,,,,,,лъиби,лъибиб,V,лъибери<V>:лъиб[thematic-i],Verb
свистеть,щоммери,,,,,,,щомми,щоммо,V,"щоммери<V>:щомм[thematic-i,transitive]",Verb
самец,кунтӏа,"б, й",кунтӏол,кунтӏаллӏи,кунтӏолилӏи,,,,,N,,
слушать,анччери,,,,,,,анччи,анччиб,V,анччери<V>:анчч[thematic-i],Verb
сито,сусукӏу,"р, р",сусукӏобил,сусукӏулӏи,сусукӏобалӏи,,,,,N,,
сновидение,мокьи,"р, р",мокьалол,мокьилӏи,мокьалалӏи,,,,,N,,
сосок,кока,"б, б",кокобил,кокулӏи,кокобалӏи,,,,,N,,
стирать,абчери,,,,,,"авчери, айчери",абчо,абчо,V,"абчери:а :ч[thematic-o,transitive]",Verb_class_internal(2)
убивать,джабери,,,,,,,джаби,джабо,V,"джабери<V>:джаб[thematic-i,transitive]",Verb
соха,ребццу,"р, р",ребццодул,ребццодолӏи,ребццодалӏи,,,,,N,,
сухой,бекъуб,,,,,,рекъуб,,,ADJ,бекъуб:екъуб[b],Adjective_class_prefix
умирать,бичӏери,,,,,,"вучӏо, вочӏой, ричӏой",вучӏо,вучӏоб,V,бичӏери<V>:чӏ[thematic-o],Verb_class_prefix_i_o
убивать,чӏчӏабери,,,,,,,чӏчӏаби,чӏчӏабо,V,"чӏчӏабери<V>:чӏчӏаб[thematic-i,transitive]",Verb
чихать,эбчунну,,,,,,,эбчунни,эбчум,V,эбчунну<V>:эбчу[nasal],Verb
хинкал,хинкӏил,"б, б",хинкӏилол,хинкӏилулӏи,хинкӏилалӏи,,,,,N,,
шипеть,хьавдери,,,,,,,хьавди,хьавдиб,V,хьавдери<V>:хьавд[thematic-i],Verb
шипеть,щоммери,,,,,,,щомми,щоммо,V,"щоммери<V>:щомм[thematic-i,transitive]",Verb
дверь,гьинцӏцӏу,"р, р",гьинцӏцӏобил,гьинцӏцӏулӏи,гьинцӏцӏобалӏи,,,,,N,,
кошка,геду,"б, й",гедобил,гедолӏи,гедобалӏи,,,,,N,,
мужчина,кунтӏа,"в, в",кунтӏобил,кунтӏув,кунтӏобав,,,,,N,,
трава,чӏаха,р,,чӏахалӏи,,,,,,N,,
ангел,малайки,"в, в",малайкол,малайкишуб,малайкалуб,,,,,N,,
диван,диван,"б, б",дивамил,диванулӏи,дивамалӏол,,,,,N,,
жестокий,хъуби,,,,,,,,,ADJ,хъуби,Adjective_no_class
копейка,кепекки,"б, б",кепекол,кепеккулӏи,кепеккалӏи,,,,,N,,
машина,машина,"б, б",машинобил,машинулӏи,машинобалӏи,,,,,N,,
полоскать,чихамшери,,,,,,,чихамшо,чихамшо,V,"чихамшери<V>:чихамш[thematic-i,transitive]",Verb
намаз,ккубайдир,,ккуболийдирол,,,,,,,N,,
пророк,авараг,в,,аварагишуб,,,,,,N,,
цыган,цигван,"в, в",цигвамадул,цигваншур,цигвамадар,,,,,N,,
школа,ушкул,"б, б",ушкулол,ушкулулӏи,ушкулалӏи,,,,,N,,
грузин,гуржи,"в, в",гуржийол,гуржишув,гуржийолув,,,,,N,,
айва,хӏаваъинчи,"б, б",хӏаваъинчил,хӏаваъинчиллӏи,хӏаваъинчилилӏи,,,,,N,,
в ответ на пожелание,амин,,,,,,,,,EXCL,,
амулет,сабаб,"р, р",сабабол,сабабулӏи,сабабалӏи,,,,,N,,
арка,кӏкӏамур,"б, б",кӏкӏамурдул,кӏкӏамурулӏи,кӏкӏамурдалӏи,,,,,N,,
бегом,гьеллиб,,,,,,,,,ADV,гьеллиб,Adverb_no_class
беднеть,бискинлъери,,,,,,,бискинлъи,бискинлъиб,V,бискинлъери<V>:бискинлъ[thematic-i],Verb
беда,къинтӏилъир,"р, р",къинтӏилъирол,къинтӏилъирлӏи,къинтӏилъиралӏи,,,,,N,,
бедность,бискинлъир,"р, р; б, б",бискинлъирол,бискинлъирлӏи,бискинлъиролилӏи,,,,,N,,
белить,гьацӏайдери,,,,,,,гьацӏайди,гьацӏайдо,V,"гьацӏайдери<V>:гьацӏайд[thematic-i,transitive]",Verb
берег,рагьал,"б, б",рагьалдул,рагьалулӏи,рагьалдалӏи,,,,,N,,
бороться,гугарунну,,,,,,,гугарун,гугарум,V,гугарунну<V>:гугару[nasal],Verb
боль,рукъур,"б, б",рукъурол,рукъурлӏи,рукъуралӏол,,,,,N,,
бородавка,гьиму,"р, р",гьимодул,гьимулӏи,гьимодалӏи,,,,,N,,
борьба,рахор,б,,рахорлӏи,,,,,,N,,
ботва,маъа,"б, б",маъол,маъулӏи,маъалӏи,,,,,N,,
бочка,шалеги,"б, б",шалегобил,шалегулӏи,шалегобалӏи,,,,,N,,
брак,бертин,"б, б",бертимол,бертинулӏи,бертималӏи,,,,,N,,
бронза,йези,б,,йезилӏи,,,,,,N,,
бубен,джергъин,"б, б",джергъемил,джергъинулӏи,джергъемалӏи,,,,,N,,
бутылка,шиша,"р, р",шишобил,шишулӏи,шишобалӏи,,,,,N,,
быть,бикӏвери,,,,,,,бикӏо,вукӏоб,V,бикӏвери<V>:кӏв[thematic-o],Verb_class_prefix_i_o
в позапрошлом году,ссебо,,,,,,,,,ADV,ссебо,Adverb_no_class
в руках,коду,,,,,,,,,ADV,коду,Adverb_no_class
в этом году,жерешина,,,,,,,,,ADV,жерешина,Adverb_no_class
ведро,челеки,"б, б",челекобил,челекулӏи,челекобалӏи,,,,,N,,
везде,инуккуъимало,,,,,,,,,ADV,инуккуъимало,Adverb_no_class
веселый,рокӏоъило,,,,,,,,,ADJ,рокӏоъило,Adjective_no_class
весы,килол,р,,,килолилӏи,,,,,N,,
ветвь,анга,"р, р",ангибол,ангулӏи,ангибалӏи,,,,,N,,
ветхий,кьира,,,,,,,,,ADJ,кьира,Adjective_no_class
вещь,дан,"б, б",данол,данлӏи,даналлӏи,,,,,N,,
взаймы,налъохъи,,,,,,,,,ADV,налъохъи,Adverb_no_class
взятка,ришвати,б,,ришватиллӏи,,,,,,N,,
вишня,жигижаги,р,,жигижагиллӏи,,,,,,N,,
вкус,тӏагӏам,"б, б",тӏагӏамил,тӏагӏамулӏи,тӏагӏамалӏи,,,,,N,,
внимание,бакки,б,,баккилӏи,,,,,,N,,
воздух,гьава,б,,гьаваллӏи,,,,,,N,,
возраст,ригьи,"б, б",ригьиллӏол,,,,,,,N,,
войлок,гьургу,"б, б",гьоргодул,гьургулӏи,гьоргодалӏи,,,,,N,,
ворчать,гъулгъудери,,,,,,,гъулгъуди,гъулгъудиб,V,гъулгъудери<V>:гъулгъуд[thematic-i],Verb
волдырь,пудил,"б, б",пудилол,пудилулӏи,пудилалӏи,,,,,N,,
воспитание,гӏахълулъай,б,,гӏахълулъайлӏи,,,,,,N,,
восьмой,бейкьилдеб,,,,,,,,,NUM,,
вперед,сседи,,,,,,,,,ADV,сседи,Adverb_no_class
впотьмах,ботӏидохъи,,,,,,,,,ADV,ботӏидохъи,Adverb_no_class
вращаться,ссорери,,,,,,,ссори,ссориб,V,ссорери<V>:ссор[thematic-i],Verb
время,заман,б,,заманлӏи,,,,,,N,,
время,ригьи,б,,ригьиллӏи,,,,,,N,,
вспыльчивый,ххеххи,,,,,,,,,ADJ,ххеххи,Adjective_no_class
вторник,талати,,,,,,,,,N,,
выше,гьиъаъон,,,,,,,,,ADV,гьиъаъон,Adverb_no_class
где-то,инуболо,,,,,,,,,ADV,инуболо,Adverb_no_class
глупеть,абдаллъери,,,,,,,абдаллъи,абдаллъиб,V,абдаллъери<V>:абдаллъ[thematic-i],Verb
глоток,хъунхъу,,,,,,,,,N,,
глубина,удилъир,б,,удилъирлӏи,,,,,,N,,
грабить,бекъашери,,,,,,,бекъаши,бекъашо,V,"бекъашери<V>:бекъаш[thematic-i,transitive]",Verb
готовиться,хӏадурлъери,,,,,,,хӏадурлъи,хӏадурлъиб,V,хӏадурлъери<V>:хӏадурлъ[thematic-i],Verb
голодный,чолтоб,,,,,,,,,ADJ,чолтоб[b],Adjective_no_class
двигаться,хьвадунну,,,,,,,хьвадун,хьвадум,V,хьвадунну<V>:хьваду[nasal],Verb
грипп,гьонхъисси,,,,,,,,,N,,
двигаться,велӏери,,,,,,,велӏо,велӏиб,V,,Verb
делить,чӏерлӏери,,,,,,,чӏерлӏи,чӏерлӏо,V,"чӏерлӏери<V>:чӏерлӏ[thematic-i,transitive]",Verb
девятый,гьочӏолдеб,,,,,,,,,ADJ,гьочӏолдеб[b],Adjective_no_class
действительно,битӏигу,,,,,,"йитӏигу, вутӏигу",,,ADV,битӏигу:тӏигу,Adverb_class_prefix_i_u
дикий,алхулӏи,,,,,,,,,ADJ,алхулӏи,Adjective_no_class
длина,реххула,б,буххулол,,,,"беххула, реххула",,,N,,
добро,рецци,б,,,,,,,,N,,
довольный,рази,,,,,,,,,ADJ,рази,Adjective_no_class
дорожать,хиралъери,,,,,,,хиралъи,,V,,Verb
долгий,беххула,,,,,,"йеххула, беххула, реххула, веххула, веххулол, йеххулол",,,ADJ,беххула:еххула,Adjective_class_prefix
дома,ищу,,,,,иша ишадахъи (все по домам),,,,ADV,ищу,Adverb_no_class
достоверный,кьучӏчӏилойсси,,,,,,,,,ADJ,кьучӏчӏилойсси,Adjective_no_class
дремать,чӏабери,,,,,,,чӏаби,чӏабиб,V,чӏабери<V>:чӏаб[thematic-i],Verb
дракон,аздагьу,"б, й",аздагьобил,аздагьулӏи,аздагьобалӏи,,,,,N,,
древесина,лъуди,"б, б",лъудол,лъудиллӏи,лъудалӏи,,,,,N,,
дробь,чечма,"б, б",чечмал,чечмаллӏи,чечмалилӏи,,,,,N,,
дыхание,шанкьаннир,б,,шанкьаннирлӏи,,,,,,N,,
дыхание,гьухьал; хӏухьал,"б, б",гьухьалол,гьухьалулӏи,гьухьалалӏи,,,,,N,,
дятел,кӏутӏкӏутӏ,"б, й",кӏутӏкӏутӏол,кӏутӏкӏутӏиллӏи,кӏутӏкӏутӏалӏи,,,,,N,,
еда,мугьу,"б, б",мугьодул,мугьулӏи,мугьодалӏи,,,,,N,,
ежедневно,зубулӏи,,,,,,,,,ADV,зубулӏи,Adverb_no_class
еще,гьинджелло,,,,,,,,,ADV,гьинджелло,Adverb_no_class
еще,себгуло,,,,,,,,,ADV,себгуло,Adverb_no_class
желтеть,чаккулъери,,,,,,,чаккулъи,чаккулъиб,V,чаккулъери<V>:чаккулъ[thematic-i],Verb
жало,ъвен,"б, б",ъвенибол,ъвенулӏи,ъвенибалӏи,,,,,N,,
жало,гъвен,"б, б",гъвенибол,гъвенулӏи,гъвенибалӏи,,,,,N,,
желание,муради,"б, б",мурадол,мурадиллӏи,мурадалӏи,,,,,N,,
женский,йошулилӏи,,,,,,,,,ADJ,йошулилӏи,Adjective_no_class
журавль,решинолӏи къурру,,решинолӏи къуррол,решинолӏи къурролӏи,решинолӏи къурралӏи,,,,,N,,
завещание,васийат,"б, б",васийатол,васийатиллӏи,васийаталӏи,,,,,N,,
завидный,севлеху,,,,,,,,,ADJ,севлеху,Adjective_no_class
завтрашний,шеласси,,,,,,,,,ADJ,шеласси,Adjective_no_class
загон,гъадил,"б, б",гъадилол,гъадилулӏи,гъадилолалӏи,,,,,N,,
задача,масъала,"б, б",масъалобил,масъалулӏи,масъалобалӏи,,,,,N,,
засыпать,кьихинну,,,,,,,кьихон,кьихом,V,"кьихинну<V>:кьих[nasal,npst-i]",Verb
защищать,цӏеннери,,,,,,,цӏенни,цӏенно,V,"цӏеннери<V>:цӏенн[thematic-i,transitive]",Verb
запрет,хӏарам,"б, б",хӏарамол,хӏарамулӏи,хӏарамалӏол,,,,,N,,
заявление,арзи,"б, б",арзил,арзиллӏи,арзилилӏи,,,,,N,,
зеленеть,хвечилъери,,,,,,,хвечилъи,хвечилъиб,V,хвечилъери<V>:хвечилъ[thematic-i],Verb
звонок,зарзал,"р, р",зарзалол,зарзалулӏи,зарзалалӏи,,,,,N,,
здоровье,сагъилъир,"б, б",сагъилъирол,сагъилъирлӏи,сагъоллъиралӏи,,,,,N,,
зрение,гьалли,"р, р",гьаллил,гьаллиллӏи,гьаллилилӏи,,,,,N,,
зурна,зумура,"б, б",зумурдул,зумурулӏи,зумурдалӏи,,,,,N,,
игра,гидал,"б, б",гидалол,гидалулӏи,гидалалӏо,,,,,N,,
избалованный,лъака,,,,,,,,,ADJ,лъака,Adjective_no_class
известь,гачи,"б, б",гачил,гачилӏи,гачилилӏи,,,,,N,,
изнутри,гьинукку,,,,,,,,,ADV,гьинукку,Adverb_no_class
изобильный,гьарза,"б, б",гьарзол,гьарзалӏи,гьарзолилӏи,,,,,ADJ,гьарза,Adjective_no_class
изредка,нагвагьи,,,,,,,,,ADV,нагвагьи,Adverb_no_class
изъян,гъайа,,,,,,,,,N,,
или,йа,,,,,,,,,PART,,
имам,дибир,"в, в",дибирадул,дибиршур,дибирадарул,,,,,N,,
индюк,гургул,"б, й",гургулол,гургулулӏи,гургулалӏи,,,,,N,,
истинный,гьакъаб,,,,,,,,,ADJ,гьакъаб[b],Adjective_no_class
каблук,мижа,"б, б",мижалол,мижалулӏи,мижалалӏи,,,,,N,,
казак,хъазахъи,"в, в",хъазахъол,хъазахъишур,хъазахъарул,,,,,N,,
как угодно,чӏорохъи,,,,,,,,,ADV,чӏорохъи,Adverb_no_class
как угодно,чӏобкьо,,,,,,,,,ADV,чӏобкьо,Adverb_no_class
калитка,гъалир,"б, б",гъалирдул,гъалирдолӏи,гъалирдалӏол,,,,,N,,
камедь,сино,"р, р",синол,синолӏи,синолилӏи,,,,,N,,
канава,рохъи,"б, б",рохъадул,рохъиллӏи,рохъадалӏи,,,,,N,,
картофель,картуш,"б, б",картушол,картушулӏи,картушалӏи,,,,,N,,
каша,кощи,"р, р",кощил,кощилӏи,кощилилӏи,,,,,N,,
клевета,бутан,"р, р",бутамил,бутанулӏи,бутамалӏи,,,,,N,,
клейстер,шилиш,"р, р",шилишол,шилишулӏи,шилишалӏи,,,,,N,,
когда-нибудь,инналъиболло,,,,,,,,,ADV,инналъиболло,Adverb_no_class
коридор,калидур,"б, б",калидурол,калидурулӏи,калидуралӏи,,,,,N,,
крепость,хъала,"б, б",хъалибол,хъалаллӏи,хъалибалӏи,,,,,N,,
крошка,чӏичӏихъил,"б, б",чӏичӏихъилол,чӏичӏихъилулӏи,чӏичӏихъилалӏи,,,,,N,,
кружка,гурушка,"б, б",гурушкобил,гурушкулӏи,гурушкобалӏи,,,,,N,,
кудахтать,къудери,,,,,,,къуди,къудиб,V,къудери<V>:къуд[thematic-i],Verb
кто,им,,,,,,,,,PRON,,
куда-нибудь,ивагу вукӏоболло,,,,,,ийагу йикӏоболло,,,ADV,,
кузнец,ихум,"в, в",ихумадул,ихумшур,ихумадарул,,,,,N,,
курить,кьаннери,,,,,,,кьанни,кьанно,V,"кьаннери<V>:кьанн[thematic-i,transitive]",Verb
куча,гъун,"б, б",гъунадул,гъунлӏи,гъунадалӏи,,,,,N,,
левша,кучӏилъасси,,,,,,,,,N,,
лемех,къеб,"б, б",къебадул,къеболӏи,къебадалӏи,,,,,N,,
летом,къина,,,,,,,,,ADV,къина,Adverb_no_class
линия,михъур,"б, б",михъурдул,михъурулӏи,михъурдалӏи,,,,,N,,
лишний,экӏу,,,,,,,,,ADJ,экӏу,Adjective_no_class
лопаться,кьвагьунну,,,,,,,кьвагьун,кьвагьум,V,кьвагьунну<V>:кьвагьу[nasal],Verb
лом,тупанги,,,,,,,,,N,,
лучина,мигу,"б, б",мигодул,мигулӏи,мигодалӏи,,,,,N,,
любимый,ххира,,,,,,,,,ADJ,ххира,Adjective_no_class
любой,бокьараб,,,,,,бокьарай,,,ADJ,бокьараб:бокьара,Adjective_class_suffix
маслобойка,кверу,"б, б",квердобил,квердолӏи,квердобалӏи,,,,,N,,
матрац,бешен,"б, б",бешемил,бешенлӏи,бешемалӏи,бешенъа,,,,N,,
медлительный,илӏохъи,,,,,,,,,ADJ,илӏохъи,Adjective_no_class
метла,лӏарлӏал,"б, б",лӏарлӏалол,лӏарлӏаллӏи,лӏарлӏалалӏи,,,,,N,,
мешочек,таргьа,"б, б",таргьибол,таргьулӏи,таргьибалӏи,,,,,N,,
мигать,къабшунну,,,,,,,къабшун,къабшум,V,къабшунну<V>:къабшу[nasal],Verb
мириться,рокъери,,,,,,,рокъи,рокъиб,V,рокъери<V>:рокъ[thematic-i],Verb
минарет,миъмар,"б, б",миъмарол,миъмарулӏи,миъмаралӏи,,,,,N,,
минута,минута,"б, б",минутол,минутиллӏи,минуталӏи,,,,,N,,
моргать,къабшунну,,,,,,,къабщун,къабшум,V,къабшунну<V>:къабщу[nasal],Verb
морковь,маматӏур,"б, б",маматӏурол,маматӏурулӏи,маматӏуралӏи,,,,,N,,
мочевой пузырь,покъу,"б, б",покъудул,покъудолӏи,покъудалӏи,,,,,N,,
мудрец,цӏудур,,,,,,,,,N,,
мулла,дибир,"в, в",дибирадул,дибиршур,дибирадарул,,,,,N,,
надевать,бикьинну,,,,,,,бикьин,бикьон,V,"бикьинну<V>:бикьи[nasal,transitive]",Verb
мутный,аргъван,,,,,,,,,ADJ,аргъван,Adjective_no_class
мысль,пикру,"б, б",пикродул,пикруллӏи,пикрудалӏи,,,,,N,,
наверху,гьиъа,,,,,,,,,ADV,гьиъа,Adverb_no_class
надежда,хьул,"б, б",хьуладул,,хьуладалӏи,,,,,N,,
напильник,чирон,"б, б",чиромил,чиронлӏи,чиромалӏи,,,,,N,,
напоказ,гьаъери,,,,,,,,,ADV,гьаъери,Adverb_no_class
напрасно,адада,,,,,,,,,ADV,адада,Adverb_no_class
насилие,зулму,"б, б",зулмодул,зулмулӏи,зулмодалӏи,,,,,N,,
настоящий,битӏибиши,,,,,,,,,ADJ,битӏибиши,Adjective_no_class
нетель,чӏора,"б, й",чӏоробил,чӏоролӏи,чӏоробалӏи,,,,,N,,
неужели,гьугъибахъиле,,,,,,,,,EXCL,,
никак,себгуло хъибъа,,,,,,,,,ADV,себгуло хъибъа,Adverb_no_class
никогда,онщигуло,,,,,,,,,ADV,онщигуло,Adverb_no_class
ничего,тӏирилоссу,,,,,,,,,ADV,тӏирилоссу,Adverb_no_class
ничего,себгуло,,,,,,,,,ADV,себгуло,Adverb_no_class
нора,багин,"б, б",багимол,багинулӏи,багималӏи,,,,,N,,
нужда,гьаджатилъир,,,,,,,,,N,,
обезьяна,маймалаки,,,,,,,,,N,,
обжора,кӏункӏул,"в, в",кӏункӏулол,кӏункӏулшур,кӏункӏулолуб,,,,,N,,
огурец,охцер,"б, б",охцердул,охцерулӏи,охцердалӏи,,,,,N,,
ответ,джаваб,"б, б",джавабол,джавабулӏи,джавабалӏи,,,,,N,,
отдельно,батӏа,,,,,,,,,ADV,батӏа,Adverb_no_class
откуда,инуккусси,,,,,,,,,ADV,инуккусси,Adverb_no_class
офицер,апицер,"в, в",апицерадул,апицершур,апицерадар,,,,,N,,
оценка,къиммати,,,,,,,,,N,,
пазуха,инлъир,,,,,,,,,N,,
пальто,палту,"б, б",палтодул,палтудолӏи,палтодалӏи,,,,,N,,
переворачивать,ссороллу,,,,,,,ссоролъи,ссоролло,V,ссороллу<V>:ссор[causative],Verb
папироса,хъалийан,"б, б",хъалийамил,хъалийанулӏи,хъалийамалӏи,,,,,N,,
перец,пурч,б,,пурчилӏи,,,,,,N,,
плавить,буцӏоллу,,,,,,руцӏоллу,буцӏолъи,буцӏолло,V,буцӏоллу<V>:уцӏ[causative],Verb_class_prefix
таять,буцӏоллу,,,,,,руцӏоллу,буцӏолъи,буцӏолло,V,буцӏоллу<V>:уцӏ[causative],Verb_class_prefix
плита,къуну,"р, р",къунибол,къунуллӏи,къунибалӏи,,,,,N,,
плов,пулав,б,,пулавлӏи,,,,,,N,,
плотник,устар,"в, в",устарадул,устаршур,устарадарул,,,,,N,,
по-другому,себлолхъиба,,,,,,,,,ADV,себлолхъиба,Adverb_no_class
подниматься,гьебцӏери,,,,,,"гьейцӏери, гьебцӏери",гьевцӏи,гьевцӏиб,V,гьебцӏери:гье :цӏ[thematic-i],Verb_class_internal(2)
под,гьикьу,,,,,,,,,POST,,
подпруга,къвал,"б, б",къвалил,къвалуллӏи,къвалилилӏи,,,,,N,,
подряд,бехудусседу,,,,,,,,,ADV,бехудусседу,Adverb_no_class
поздно,кватӏунну,,,,,,,,,ADV,кватӏунну,Adverb_no_class
позор,сули,,,,,,,,,N,,
позор,инзил,"б, б",инзилол,инзилулӏи,инзилалӏи,,,,,N,,
полезный,мунпаъати,,,,,,,,,ADJ,мунпаъати,Adjective_no_class
полночь,рокьирелъол,,,,,,,,,ADV,рокьирелъол,Adverb_no_class
полоть,хварери,,,,,,,хвари,хваро,V,"хварери<V>:хвар[thematic-i,transitive]",Verb
полотенце,рокьучул,"р, р",рокьучулол,рокьучулулӏи,рокьучулалӏи,,,,,N,,
помощь,кумеки,"б, б",кумекол,кумекиллӏи,кумекалӏи,,,,,N,,
понедельник,итни зубу,,,,,,,,,N,,
попрошайка,хохол,"в, в",хохоладул,хохолшур,хохоладар,,,,,N,,
попрошайка,хохол,"й, й",хохоладул,хохоллӏи,хохоладалӏи,,,,,N,,
портиться,бичӏери,,,,,,"ричӏой, вучӏо, вочӏой",бичӏо,бичӏоб,V,бичӏери<V>:чӏ[thematic-o],Verb_class_prefix_i_o
портить,бичӏоллу,,,,,,ричӏоллу,бичӏолъи,бичӏолло,V,бичӏоллу<V>:чӏ[causative],Verb_class_prefix_i_o
порох,чӏир,б,,чӏирлӏи,,,,,,N,,
поручение,молъи,"р, р",молъалол,молъиллӏи,молъалалӏи,,,,,N,,
посторонний,гьекӏуб,,,,,,,,,ADJ,гьекӏуб[b],Adjective_no_class
почему,"ил.ъо, иллъий",,,,,,,,,ADV,"ил.ъо, иллъий",Adverb_no_class
почерк,хатӏи,р,,хатӏиллӏи,,,,,,N,,
правитель,хӏаким,"в, в",,,,,,,,N,,
правительство,хӏукумати,"б, б",хӏукуматол,хӏукуматиллӏи,хӏукуматалӏол,,,,,N,,
прежний,нукӏвалсси,,,,,,,,,ADJ,нукӏвалсси,Adjective_no_class
приглашать,къорери вуъон (звать прийти),,,,,,,,,V,,
пригоршня,лъумур,"б, б",лъумурдул,"лъумурлӏи, лъумурулӏи",лъумурдалӏол,,,,,N,,
пример,мисал,б,,мисалалӏи,,,,,,N,,
приоткрывать,бучӏонну,,,,,,ручӏонний,бучӏон,бучӏонно,V,"бучӏонну<V>:бучӏ[nasal,causative]",Verb_class_prefix
природа,тӏабигӏат,,,,,,,,,N,,
прицел,ишан,б,,,,,,,,N,,
проголодаться,чолтери,,,,,,,чолто,чолтоб,V,чолтери<V>:чолт[thematic-o],Verb
